,Task ID,Name,Assignee,Date,Projects,Parent task,Event Status,Category,Set Up Time,Start Time,End Time,Address,Zip,PN?,Social Media,City,KDL Branch,GRPL Branch,Reason for NA,Est. Attendance,# Staff Attended,# FAB Attended,# Interns Attended,# Volunteers Attended,Method of # P@E,Host(s),"Volunteer Email Addresses (a,b,c):",Location,Event ID
24,1210662891063681,HELP Pregnancy Aid,,2025-09-10,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,10 am,1:30 pm,705 Bridge St NW,49504.0,No,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,HELP Pregnancy Aid,,HELP Pregnancy Aid,E25
25,1210662891063683,Streams of Hope,LisBro,2025-09-18,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,10:30 am,1:30 pm,280 60th St SE Suite 100,49548.0,No,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,Streams of Hope,,Streams of Hope,E26
26,1210662891063679,In the Image,LisBro,2025-09-03,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,10:30 am,3 pm,4255 Kalamazoo Ave SE,49508.0,No,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,In the Image,,In the Image,E27
27,1210662891063685,In the Image,LisBro,2025-10-01,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,10:30 am,3 pm,4255 Kalamazoo Ave SE,49508.0,No,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,In the Image,,In the Image,E28
28,1210662892856447,In the Image,LisBro,2025-11-05,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,10:30 am,3 pm,4255 Kalamazoo Ave SE,49508.0,No,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,In the Image,,In the Image,E29
29,1210662892856449,In the Image,LisBro,2025-12-03,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,10:30 am,3 pm,4255 Kalamazoo Ave SE,49508.0,No,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,In the Image,,In the Image,E30
30,1210661033567584,Pregnancy Resource Center,MaiHof,2025-09-01,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,1 pm,3 pm,415 Cherry St SE,49503.0,Yes,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,Pregnancy Resource Center,,Pregnancy Resource Center,E31
31,1210661033567586,Pregnancy Resource Center,MaiHof,2025-09-15,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,1 pm,3 pm,415 Cherry St SE,49503.0,Yes,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,Pregnancy Resource Center,,Pregnancy Resource Center,E32
32,1210661033567588,Pregnancy Resource Center,MaiHof,2025-09-29,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,1 pm,3 pm,415 Cherry St SE,49503.0,Yes,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,Pregnancy Resource Center,,Pregnancy Resource Center,E33
33,1210661033567590,Pregnancy Resource Center,MaiHof,2025-10-13,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,1 pm,3 pm,415 Cherry St SE,49503.0,Yes,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,Pregnancy Resource Center,,Pregnancy Resource Center,E34
34,1210661033567592,Pregnancy Resource Center,MaiHof,2025-10-27,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,1 pm,3 pm,415 Cherry St SE,49503.0,Yes,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,Pregnancy Resource Center,,Pregnancy Resource Center,E35
35,1210661171216651,Pregnancy Resource Center,MaiHof,2025-11-10,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,1 pm,3 pm,415 Cherry St SE,49503.0,Yes,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,Pregnancy Resource Center,,Pregnancy Resource Center,E36
36,1210661171216655,Pregnancy Resource Center,MaiHof,2025-11-24,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,1 pm,3 pm,415 Cherry St SE,49503.0,Yes,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,Pregnancy Resource Center,,Pregnancy Resource Center,E37
37,1210661171216653,Pregnancy Resource Center,MaiHof,2025-12-08,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,1 pm,3 pm,415 Cherry St SE,49503.0,Yes,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,Pregnancy Resource Center,,Pregnancy Resource Center,E38
38,1210661171216657,Pregnancy Resource Center,MaiHof,2025-12-22,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,1 pm,3 pm,415 Cherry St SE,49503.0,Yes,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,Pregnancy Resource Center,,Pregnancy Resource Center,E39
39,1210328994462496,Kent District Library,CylBli,2025-09-26,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,10 am,11 am,6260 92nd St SE,49316.0,No,No,Caledonia,Caledonia Township,,,20.0,1.0,0.0,0.0,0.0,,Kent District Library,,Kent District Library Caledonia Branch,E40
40,1210328994462494,Kent District Library,CylBli,2025-08-29,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,10 am,11 am,6260 92nd St SE,49316.0,No,No,Caledonia,Caledonia Township,,,20.0,1.0,0.0,0.0,0.0,,Kent District Library,,Kent District Library Caledonia Branch,E41
41,1210391686350138,North Kent Connect,SusAlo,2025-09-03,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,9 am,3 pm,10075 Northland Dr NE,49341.0,No,No,Rockford,,,,20.0,1.0,0.0,0.0,0.0,,North Kent Connect,,North Kent Connect,E42
42,1210328994462498,Kent District Library,CylBli,2025-10-31,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,10 am,11 am,6260 92nd St SE,49316.0,No,No,Caledonia,Caledonia Township,,,20.0,1.0,0.0,0.0,0.0,,Kent District Library,,Kent District Library Caledonia Branch,E43
43,1210401053550826,Grand Rapids Public Library Main Branch,CylBli,2025-08-25,"Community Events Calendar,2025 Events Planning",,N/A - Tabling,Partner Tabling,,10 am,12 pm,111 Library St NE,49503.0,Yes,No,Grand Rapids,,Main Library,,20.0,1.0,0.0,0.0,0.0,,Grand Rapids Public Library,,Grand Rapids Public Library Main Branch,E44
44,1210641904979582,Submit Feedback - Survey Monkey! (Link in description),,,2025 Events Planning,,,error,,,,,,,,,,,,,,,,,,,,,E45
45,1210788202462298,GRPL Outdoor Storytime at Lincoln Park_,CylBli,2025-08-18,"Community Events Calendar,2025 Events Planning",,Completed Event,Community Event,10:00,10:30,11:00,231 Marion Ave NW,49504.0,No,Yes,Grand Rapids,,,,30.0,,,,,,Grand Rapids Public Library,,Lincoln Park ,E46
46,1210661033567582,Pregnancy Resource Center,MaiHof,2025-08-18,"Community Events Calendar,2025 Events Planning",,Completed Tabling,Partner Tabling,,1 pm,3 pm,415 Cherry St SE,49503.0,Yes,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,Pregnancy Resource Center,,Pregnancy Resource Center,E47
47,1210544736313357,Taylor Made Re-entry 3rd Annual Kickball Event,JDDan,2025-08-16,"Community Events Calendar,2025 Events Planning",,Completed Event,Community Event,12:30 PM,1 PM,3:30 PM,250 Burton St SE,49507.0,Yes,Yes,Grand Rapids,,,,400.0,2.0,0.0,1.0,0.0,This is our best estimate,Taylor Made Re-Entry,,Garfield Park,E48
48,1210679662290647,Family Fiesta,MaiHof,2025-08-15,"Community Events Calendar,2025 Events Planning",,Completed Event,Community Event,2:00-3:00pm,4:00pm,7:00pm,"546 Rumsey St SW Grand Rapids, MI 49503",49503.0,Yes,No,Grand Rapids,,,,600.0,2.0,,,,This is our best estimate,Roosevelt Park Neighborhood Association ,,Roberto Clemente Park ,E49
49,1210332234699542,SHOES Program,LisBro,2025-08-15,"Community Events Calendar,2025 Events Planning",,Completed Event,Community Event,TBD,TBD,TBD,303 Monroe Ave NW,49503.0,Yes,Yes,Grand Rapids,,,,5500.0,4.0,0.0,0.0,0.0,This is our best estimate,In the Image,,Devos Place,E50
50,1210835388628370,Coit Elementary Orientation_,CylBli,2025-08-14,"Community Events Calendar,2025 Events Planning",,Completed Event,Community Event,3:30,4pm,6pm,617 Coit Ave NE,49503.0,No,Yes,Grand Rapids,,,,150.0,,,,,,Coit Creative Arts Academy,,Coit Creative Arts Academy,E51
51,1210860584419172,Burton Open House and Orientation,SusAlo,2025-08-13,"Community Events Calendar,2025 Events Planning",,Completed Event,Community Event,TBD,4:15,7:!5,2133 Buchanan Ave SW,49507.0,No,Yes,Grand Rapids,,,,150.0,,,,,,Burton Elementary and Middle School,,Burton Elementary,E52
52,1211001164344620,Kent City Migrant Head Start Parenting Talk ,SanPor,2025-08-13,2025 Events Planning,,Completed Event,Community Event,4:45 pm,5 pm,7 pm,3385 Ruscoe Road,49330.0,No,No,Kent City,,,,25.0,1.0,0.0,0.0,0.0,, Kent City Migrant Head Start,,Kent City Migrant Head Start Building,E53
53,1210662891063670,HELP Pregnancy Aid,,2025-08-13,"Community Events Calendar,2025 Events Planning",,Completed Tabling,Partner Tabling,,12 pm,3 pm,705 Bridge St NW,49504.0,No,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,HELP Pregnancy Aid,,HELP Pregnancy Aid,E54
54,1210792544197486,Backpacks and Beats,LisBro,2025-08-12,"Community Events Calendar,2025 Events Planning",,Completed Event,Community Event,TBD,4pm,7pm,400 Martin Luther King Jr St SE,49503.0,Yes,Yes,Grand Rapids,,,,0.0,1.0,0.0,0.0,0.0,,ICCF,,ICCF,E55
55,1210788132572571,Outdoor Storytime,LisBro,2025-08-11,"Community Events Calendar,2025 Events Planning",,Completed Event,Community Event,10:00,10:30,11:00,1632 Sylvan Ave SE,49506.0,Yes,Yes,Grand Rapids,,,,30.0,,,,,,Grand Rapids Public Library,,Mulick Park,E56
56,1210745201592757,Rise Rally,,2025-08-11,"Community Events Calendar,2025 Events Planning",,Completed Event,Community Event,3:30 PM,4:30 PM,7 PM,909 Watson St SW,49504.0,No,No,Grand Rapids,,,,40.0,,,,,,Grace's Table,,Grace's Table,E57
57,1210825413570493,Sheldon WIC Clinic,SusAlo,2025-08-11,"Community Events Calendar,2025 Events Planning",,Completed Tabling,Partner Tabling,,11a,4p,121 Franklin St SE,49507.0,Yes,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,Sheldon WIC Clinic,,Sheldon WIC Clinic,E58
58,1210401053550824,Grand Rapids Public Library Main Branch,CylBli,2025-08-11,"Community Events Calendar,2025 Events Planning",,Completed Tabling,Partner Tabling,,10 am,12 pm,111 Library St NE,49503.0,Yes,No,Grand Rapids,,Main Library,,20.0,1.0,0.0,0.0,0.0,,Grand Rapids Public Library,,Grand Rapids Public Library Main Branch,E59
59,1210348256703866,North Kent Connect,SusAlo,2025-08-06,"Community Events Calendar,2025 Events Planning",,Completed Tabling,Partner Tabling,,9 am,3 pm,10075 Northland Dr NE,49341.0,No,No,Rockford,,,,20.0,1.0,0.0,0.0,0.0,,North Kent Connect,,North Kent Connect,E60
60,1210662891063673,In the Image,LisBro,2025-08-06,"Community Events Calendar,2025 Events Planning",,Completed Tabling,Partner Tabling,,10:30 am,3 pm,4255 Kalamazoo Ave SE,49508.0,No,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,In the Image,,In the Image,E61
61,1210322226731154,"Grand Rapids Books, Blocks, and Balls",LiaTag,2025-08-09,"Community Events Calendar,2025 Events Planning",,Completed Event,Community Event,8:45 am,10 am,1 pm,256 Alger St SE,49507.0,Yes,Yes,Grand Rapids,,,,500.0,3.0,0.0,0.0,0.0,,Great Start Collaborative,,Alger Head Start,E62
62,1210732793733210,Sparta Celtic Festival,SusAlo,2025-08-09,"Community Events Calendar,2025 Events Planning",,Completed Event,Community Event,"TBD, probably 11a",12p,5p,TBD,49345.0,No,Yes,Sparta,,,,1000.0,2.0,0.0,0.0,0.0,,Sparta Celtic Festival,,Sparta Area (more details to be provided),E63
63,1210587343153450,DABSJ Back to School Bash '25_,CylBli,2025-08-07,"Community Events Calendar,2025 Events Planning",,Completed Event,Community Event,2 pm,3 pm,6 pm,2172 Dean Lake Ave NE ,49505.0,No,No,Grand Rapids,,,,300.0,1.0,0.0,0.0,0.0,,D.A. Blodgett – St. John’s,,D.A. Blodgett - St. John's ,E64
64,1210662891063675,Streams of Hope,LisBro,2025-08-07,"Community Events Calendar,2025 Events Planning",,Completed Tabling,Partner Tabling,,10:30 am,1:30 pm,280 60th St SE Suite 100,49548.0,No,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,Streams of Hope,,Streams of Hope,E65
65,1210919394820569,St. Gianna's No Cost Baby Boutique,,2025-08-07,"Community Events Calendar,2025 Events Planning",,Completed Tabling,Partner Tabling,,10 AM,12 PM,1400 Plainfield Ave NE,49505.0,No,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,St. Gianna's No Cost Baby Boutique,,St. Gianna's No Cost Baby Boutique,E66
66,1210851532340498,Downtown YMCA Parent Cafe,SanPor,2025-08-06,2025 Events Planning,,Completed Event,Community Event,3:15 pm,4 pm,7:30 pm,415 MLK Jr Drive SE,49534.0,Yes,Yes,Grand Rapids,,,,9.0,1.0,0.0,0.0,0.0,It was reported to us by the event hosts/organizers,Downtown YMCA,,ICCF Building,E67
67,1210263482385281,Community Night,LisBro,2025-08-06,"Community Events Calendar,2025 Events Planning",,Completed Event,Community Event,5:30 pm,6 pm,7:30 pm,280 60th St SE,49548.0,No,No,Grand Rapids,,,,100.0,1.0,0.0,0.0,0.0,,Streams of Hope,,Streams of Hope,E68
68,1210573991653534,National Night Out,CylBli,2025-08-05,"Community Events Calendar,2025 Events Planning",,Completed Event,Community Event,TBD,6 PM,8 PM,739 Van Raalte Dr SW,49503.0,No,Yes, Grand Rapids,,,,200.0,2.0,0.0,0.0,0.0,,Event by Roosevelt Park Neighborhood Association,,Roosevelt Park ,E69
69,1210535148594097,Backpack Block Party Bash,SanPor,2025-08-02,"Community Events Calendar,2025 Events Planning",,Completed Event,Community Event,TBD,2 pm,5:30,600 Block of Prince St SE,49507.0,Yes,Yes,Grand Rapids,,,,200.0,1.0,1.0,0.0,0.0,,The Ella Bells Organization,,600 Block of Prince St SE,E70
70,1210815279447470,Family Field Day,BroAer,2025-08-01,"Community Events Calendar,2025 Events Planning",,Completed Event,Community Event,TBD,4:00 pm,7:00 pm,904 Sheldon Ave SE,49507.0,Yes,Yes,Grand Rapids,,,,150.0,2.0,0.0,0.0,0.0,It was reported to us by the event hosts/organizers,United Methodist Community House,,United Methodist Community House,E71
71,1210941332023273,North Kent Connect,CylBli,2025-07-30,"Community Events Calendar,2025 Events Planning",,Completed Tabling,Partner Tabling,,9am,1pm,10075 Northland Dr NE,49341.0,No,No,Rockford,,,,20.0,1.0,0.0,0.0,0.0,,North Kent Connect,,North Kent Connect,E72
72,1210941332902977,Cedar Springs Public Library,RacWar,2025-07-22,"Community Events Calendar,2025 Events Planning",,Completed Tabling,Partner Tabling,10:00am,10:30am,11:00am,107 N Main St NE,49319.0,No,No,Cedar Springs,,,,20.0,1.0,0.0,0.0,0.0,,Cedar Springs Public Library,,Cedar Springs Public Library,E73
73,1210328994462474,Storytime in the Park at Lincoln Park,SanPor,2025-07-29,"Community Events Calendar,2025 Events Planning",,Completed Event,Community Event,5:45 pm,6:30 pm,8 pm,1120 Bridge St NW,49504.0,No,Yes,Grand Rapids,,,,25.0,1.0,0.0,1.0,0.0,,Storytime GR,,Lincoln Park,E74
74,1210401053550822,Grand Rapids Public Library Main Branch,CylBli,2025-07-28,"Community Events Calendar,2025 Events Planning",,Completed Tabling,Partner Tabling,,10 am,12 pm,111 Library St NE,49503.0,Yes,No,Grand Rapids,,Main Library,,20.0,1.0,0.0,0.0,0.0,,Grand Rapids Public Library,,Grand Rapids Public Library Main Branch,E75
75,1210822117242049,Millennium Park Thursday Storytime,CylBli,2025-07-24,"Community Events Calendar,2025 Events Planning",,Completed Event,Community Event,9:30am,10am,11am,1415 Maynard Ave SW,49534.0,No,Yes,Walker,,,,30.0,1.0,0.0,1.0,0.0,,Kent District Library,,Millennium Park,E76
76,1210502591999291,Garden Party ,,2025-07-24,"Community Events Calendar,2025 Events Planning",,Completed Event,Community Event,5:30 PM,6 PM,8 PM,"705 Bridge St NW, ",49504.0,No,Yes,Grand Rapids,,,,60.0,1.0,0.0,1.0,0.0,,HELP Pregnancy Aid,,HELP Pregnancy ,E77
77,1210389973287862,Ready Set Learn School Supply Event,,2025-07-25,"Community Events Calendar,2025 Events Planning",,Completed Event,Community Event,TBD,3 PM ,6 PM," (1260 Cesar E. Chavez Ave SW, Grand Rapids, MI 49503)",49503.0,No,No,Grand Rapids,,,,100.0,2.0,0.0,0.0,0.0,,Roosevelt Park Neighborhood Association,, Roosevelt Park Neighborhood Association,E78
78,1210391287290825,Day of Play Celebration,CylBli,2025-07-27,"Community Events Calendar,2025 Events Planning",,Completed Event,Community Event,10 am?,11am,4pm,11 Sheldon Ave. NE,49503.0,Yes,Yes,Grand Rapids,,,,1000.0,4.0,0.0,0.0,0.0,,Grand Rapids Children's Museum,,Grand Rapids Children's Museum,E79
79,1210534874353709,Comic Geek Out,OliTra,2025-07-26,"Community Events Calendar,2025 Events Planning",,Completed Event,Community Event,11:30 am,12 pm,5 pm,111 Library St NE,49503.0,Yes,Yes,Grand Rapids,,,,200.0,2.0,0.0,0.0,0.0,,Grand Rapids Public Library,,Grand Rapids Public Library Main Branch,E80
80,1210328994462492,Kent District Library,CylBli,2025-07-25,"Community Events Calendar,2025 Events Planning",,Completed Tabling,Partner Tabling,,10 am,11 am,6260 92nd St SE,49316.0,No,No,Caledonia,Caledonia Township,,,20.0,1.0,0.0,0.0,0.0,,Kent District Library,,Kent District Library Caledonia Branch,E81
81,1210328994462480,Storytime in the Park at Lincoln Park,SanPor,2025-07-22,"Community Events Calendar,2025 Events Planning",,Completed Event,Community Event,5:45 pm,6:30 pm,8 pm,2001 Bridge St NW,49504.0,No,Yes,Grand Rapids,,,,140.0,1.0,0.0,1.0,0.0,This is our best estimate,Storytime GR,,Lincoln Park,E82
82,1210800493322982,Outdoor Storytime,CylBli,2025-07-21,"Community Events Calendar,2025 Events Planning",,Completed Event,Community Event,10:00,10:30,11:00,231 Marion Ave NW,49504.0,No,Yes,Grand Rapids,,,,30.0,1.0,0.0,0.0,0.0,,Grand Rapids Public Library,,Lincoln Park ,E83
83,1210661033567578,Pregnancy Resource Center,MaiHof,2025-07-21,"Community Events Calendar,2025 Events Planning",,Completed Tabling,Partner Tabling,,1 pm,3 pm,415 Cherry St SE,49503.0,Yes,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,Pregnancy Resource Center,,Pregnancy Resource Center,E84
84,1210662617664894,HELP Pregnancy Aid,,2025-07-21,"Community Events Calendar,2025 Events Planning",,Completed Tabling,Partner Tabling,,12 pm,3 pm,705 Bridge St NW,49504.0,No,No,Grand Rapids,,,,20.0,1.0,0.0,0.0,0.0,,HELP Pregnancy Aid,,HELP Pregnancy Aid,E85
85,1210824135942749,Millennium Park Thursday Storytime,CylBli,2025-07-17,"Community Events Calendar,2025 Events Planning",,Completed Event,Community Event,9:30am,10am,11am,1415 Maynard Ave SW,49534.0,No,Yes,Walker,,,,30.0,1.0,0.0,0.0,0.0,,Kent District Library,,Millennium Park,E86
86,1210776291890508,Millennium Park Beach Day,MadCol,2025-07-16,"Community Events Calendar,2025 Events Planning",,Completed Event,Community Event,10am,11am,3pm,1415 Maynard ave sw,49534.0,No,Yes,walker,,,,100.0,1.0,0.0,3.0,0.0,,Family Futures,,Millennium Park,E87
